sequence_id	superfamily	classification	length	original_header
Kolobok-18_HM_tp	Kolobok	DNA/Kolobok-Hydra	587	Kolobok-18_HM_tp#DNA/Kolobok-Hydra RBRM:Kolobok-18_HM cds_range:405-2166 [Hydra vulgaris]
Kolobok-19_HMa_tp	Kolobok	DNA/Kolobok-Hydra	601	Kolobok-19_HMa_tp#DNA/Kolobok-Hydra RBRM:Kolobok-19_HMa cds_range:375-2178 [Hydra vulgaris]
Kolobok-20_HMa_tp	Kolobok	DNA/Kolobok-Hydra	595	Kolobok-20_HMa_tp#DNA/Kolobok-Hydra RBRM:Kolobok-20_HMa cds_range:423-2208 [Hydra vulgaris]
Kolobok-21_HMa_tp	Kolobok	DNA/Kolobok-Hydra	582	Kolobok-21_HMa_tp#DNA/Kolobok-Hydra RBRM:Kolobok-21_HMa cds_range:412-2158 [Hydra vulgaris]
Kolobok-23_HMa_tp	Kolobok	DNA/Kolobok-Hydra	583	Kolobok-23_HMa_tp#DNA/Kolobok-Hydra RBRM:Kolobok-23_HMa cds_range:450-2199 [Hydra vulgaris]
Kolobok-24_HMa_tp	Kolobok	DNA/Kolobok-Hydra	655	Kolobok-24_HMa_tp#DNA/Kolobok-Hydra RBRM:Kolobok-24_HMa cds_range:352-2317 [Hydra vulgaris]
Kolobok-1_AP_tp	Kolobok	DNA/Kolobok-T2	706	Kolobok-1_AP_tp#DNA/Kolobok-T2 RBRM:Kolobok-1_AP cds_range:1740-3858 [Acyrthosiphon pisum]
Kolobok-1_BF_tp	Kolobok	DNA/Kolobok-T2	835	Kolobok-1_BF_tp#DNA/Kolobok-T2 RBRM:Kolobok-1_BF cds_range:415-4176 exons:415-777;1372-2887;3130-3359;3553-3700;3924-4176 [Branchiostoma floridae]
Kolobok-1_CB_tp	Kolobok	DNA/Kolobok-T2	418	Kolobok-1_CB_tp#DNA/Kolobok-T2 RBRM:Kolobok-1_CB cds_range:528-2436 exons:528-1133;1351-1532;1695-1916;2189-2436 [Caenorhabditis briggsae]
Kolobok-1_CS_tp	Kolobok	DNA/Kolobok-T2	575	Kolobok-1_CS_tp#DNA/Kolobok-T2 RBRM:Kolobok-1_CS stops:1 cds_range:1573-3439 exons:1573-2352;2421-2856;2928-3439 via genewise with Kolobok-1_BF_tp [Ciona savignyi]
Kolobok-1_NaeGru_tp	Kolobok	DNA/Kolobok-T2	632	Kolobok-1_NaeGru_tp#DNA/Kolobok-T2 RBRM:Kolobok-1_NaeGru cds_range:415-2311 [Naegleria gruberi]
Kolobok-1_NV_tp	Kolobok	DNA/Kolobok-T2	746	Kolobok-1_NV_tp#DNA/Kolobok-T2 RBRM:Kolobok-1_NV cds_range:313-4902 exons:313-452;561-614;740-834;1079-1214;1358-1420;1794-2279;2548-2984;3291-3368;3460-3589;3799-3993;4176-4245;4537-4902 [Nematostella vectensis]
Kolobok-1_TV_tp	Kolobok	DNA/Kolobok-T2	401	Kolobok-1_TV_tp#DNA/Kolobok-T2 RBRM:Kolobok-1_TV cds_range:337-1540 [Trichomonas vaginalis]
Kolobok-1_XT_tp	Kolobok	DNA/Kolobok-T2	814	Kolobok-1_XT_tp#DNA/Kolobok-T2 RBRM:Kolobok-1_XT cds_range:1187-3629 [Xenopus (silurana) tropicalis]
Kolobok-2_BF_p2	Kolobok	DNA/Kolobok-T2	281	Kolobok-2_BF_p2#DNA/Kolobok-T2 RBRM:Kolobok-2_BF rev:1 cds_range:6313-5470 [Branchiostoma floridae]
Kolobok-2_BF_tp	Kolobok	DNA/Kolobok-T2	803	Kolobok-2_BF_tp#DNA/Kolobok-T2 RBRM:Kolobok-2_BF cds_range:379-4168 exons:379-735;1233-2652;2834-3063;3359-3506;3910-4168 [Branchiostoma floridae]
Kolobok-2_TV_tp	Kolobok	DNA/Kolobok-T2	465	Kolobok-2_TV_tp#DNA/Kolobok-T2 RBRM:Kolobok-2_TV cds_range:587-1982 [Trichomonas vaginalis]
Kolobok-2_XT_tp	Kolobok	DNA/Kolobok-T2	783	Kolobok-2_XT_tp#DNA/Kolobok-T2 RBRM:Kolobok-2_XT cds_range:1789-4138 [Xenopus (silurana) tropicalis]
Kolobok-3_TV_tp	Kolobok	DNA/Kolobok-T2	424	Kolobok-3_TV_tp#DNA/Kolobok-T2 RBRM:Kolobok-3_TV cds_range:716-1988 [Trichomonas vaginalis]
Kolobok-4_TV_tp	Kolobok	DNA/Kolobok-T2	455	Kolobok-4_TV_tp#DNA/Kolobok-T2 RBRM:Kolobok-4_TV cds_range:2722-4087 [Trichomonas vaginalis]
Kolobok-5_TV_tp	Kolobok	DNA/Kolobok-T2	833	Kolobok-5_TV_tp#DNA/Kolobok-T2 RBRM:Kolobok-5_TV cds_range:466-2965 [Trichomonas vaginalis]
Kolobok1-1_TCa_ex	Kolobok	DNA/Kolobok-E	314	Kolobok1-1_TCa_ex#DNA/Kolobok-E RBRM:Kolobok1-1_TCa cds_range:1757-2699 (fragment) Element has fragments of a Kolobok-like transposase and a ISL2EU-like exonuclease. [Tribolium castaneum]
CeMuDR1	MULE	DNA/MULE-MuDR	600	CeMuDR1#DNA/MULE-MuDR  Dfam:DF0001359 cds_range:1476-5678 exons:1476-1802;2600-2730;2823-3055;3324-3454;3780-4042;4118-4256;4682-4878;5175-5460;5577-5678 multiple exons; from RepBase [Caenorhabditis elegans]
CeMuDR2	MULE	DNA/MULE-MuDR	621	CeMuDR2#DNA/MULE-MuDR  Dfam:DF0001360 frameshifts:1 cds_range:1401-4699 exons:1401-1652;1993-2120;2213-2452;2736-2863;3097-3328;3373-3545;3593-3708;3765-3849;4141-4306;4349-4699 viagenewise with CeMuDR1 (1654:1994, 2122:2214, 2454:2737, 2865:3098, 3330:3374, 3547:3594. 3710:3766, 3851:4142, 4308:4350) [Caenorhabditis elegans]
Ricksha	MULE	DNA/MULE-MuDR	479	Ricksha#DNA/MULE-MuDR  Dfam:DF0001058 cds_range:962-2399 [Primates]
NOF_FB	MULE	DNA/MULE-NOF	1056	NOF_FB#DNA/MULE-NOF  Dfam:DF0001677 cds_range:703-3871 [Drosophila fruit fly genus]
UN-77706_Pce	MULE	DNA/MULE-MuDR	437	UN-77706_Pce#DNA/MULE-MuDR   hypothetical 48K protein - [Pseudomonas cepacia]
UN-208687_Bce	MULE	DNA/MULE-MuDR	388	UN-208687_Bce#DNA/MULE-MuDR   ORF1, major from IS406 [Burkholderia cepacia]
UN-472419_Afe	MULE	DNA/MULE-MuDR	296	UN-472419_Afe#DNA/MULE-MuDR   ORF1 [Acidithiobacillus ferrooxidans]
UN-549115_Cdi	MULE	DNA/MULE-MuDR	343	UN-549115_Cdi#DNA/MULE-MuDR   Probable transposase for insertion sequence element [Corynebacterium diphtheriae]
UN-1279534_Mce	MULE	DNA/MULE-MuDR	415	UN-1279534_Mce#DNA/MULE-MuDR   putative transposase [Mycobacterium celatum]
UN-1617569_Rop	MULE	DNA/MULE-MuDR	418	UN-1617569_Rop#DNA/MULE-MuDR   putative transposase [Rhodococcus opacus]
UN-4210728_Mav	MULE	DNA/MULE-MuDR	395	UN-4210728_Mav#DNA/MULE-MuDR   transposase [Mycobacterium avium subsp. paratuberculosis]
UN-4335673_Mav	MULE	DNA/MULE-MuDR	434	UN-4335673_Mav#DNA/MULE-MuDR   transposase [Mycobacterium avium]
UN-6175165_Ath_tp	MULE	DNA/MULE-MuDR	757	UN-6175165_Ath_tp#DNA/MULE-MuDR   Mutator-like transposase [Arabidopsis thaliana]
UN-6456721_Bli	MULE	DNA/MULE-MuDR	424	UN-6456721_Bli#DNA/MULE-MuDR   transposase [Brevibacterium linens]
UN-7267539_Ath	MULE	DNA/MULE-MuDR	597	UN-7267539_Ath#DNA/MULE-MuDR   putative transposon protein [Arabidopsis thaliana]
UN-7321061_Ath	MULE	DNA/MULE-MuDR	848	UN-7321061_Ath#DNA/MULE-MuDR   putative protein [Arabidopsis thaliana]
UN-9711271_Sma	MULE	DNA/MULE-MuDR	404	UN-9711271_Sma#DNA/MULE-MuDR   transposase [Sphingopyxis macrogoltabida]
UN-9945808_Cst	MULE	DNA/MULE-MuDR	416	UN-9945808_Cst#DNA/MULE-MuDR   Tnp1250a [Corynebacterium striatum]
UN-13358810_Cti	MULE	DNA/MULE-MuDR	699	UN-13358810_Cti#DNA/MULE-MuDR   hypothetical protein [Carthamus tinctorius]
UN-13928075_Cpa	MULE	DNA/MULE-MuDR	396	UN-13928075_Cpa#DNA/MULE-MuDR   putative recombinase [Chironomus pallidivittatus]
UN-15384307_Ehi	MULE	DNA/MULE-MuDR	391	UN-15384307_Ehi#DNA/MULE-MuDR   transposase [Enterococcus hirae]
UN-15923405_Sau	MULE	DNA/MULE-MuDR	396	UN-15923405_Sau#DNA/MULE-MuDR   transposase [Staphylococcus aureus subsp. aureus Mu50]
UN-17534253_Cel	MULE	DNA/MULE-MuDR	779	UN-17534253_Cel#DNA/MULE-MuDR   mutator-like transposase family member (2C224) [Caenorhabditis elegans]
UN-17544214_Cel	MULE	DNA/MULE-MuDR	874	UN-17544214_Cel#DNA/MULE-MuDR   predicted CDS, C2H2 type zinc finger containing protein family member (4Q281) [Caenorhabditis elegans]
UN-17555878_Cel	MULE	DNA/MULE-MuDR	557	UN-17555878_Cel#DNA/MULE-MuDR   putative nuclear protein of eukaryotic origin (3O384) [Caenorhabditis elegans]
UN-17976675_Cin	MULE	DNA/MULE-MuDR	544	UN-17976675_Cin#DNA/MULE-MuDR   hypothetical protein [Chelonus inanitus bracovirus]
UN-18539138_Cin	MULE	DNA/MULE-MuDR	548	UN-18539138_Cin#DNA/MULE-MuDR   putative recombinase [Chelonus inanitus bracovirus]
UN-19848307_Cje	MULE	DNA/MULE-MuDR	392	UN-19848307_Cje#DNA/MULE-MuDR   transposase Tnp1249 [Corynebacterium jeikeium]
UN-21229059_Mma	MULE	DNA/MULE-MuDR	392	UN-21229059_Mma#DNA/MULE-MuDR   Transposase [Methanosarcina mazei Go1]
UN-21234258_Sco	MULE	DNA/MULE-MuDR	416	UN-21234258_Sco#DNA/MULE-MuDR   putative transposon transposase [Streptomyces coelicolor A3(2)]
UN-21530790_Lde	MULE	DNA/MULE-MuDR	392	UN-21530790_Lde#DNA/MULE-MuDR   putative transposase [Lactobacillus delbrueckii subsp. lactis]
UN-23013207_Mma	MULE	DNA/MULE-MuDR	422	UN-23013207_Mma#DNA/MULE-MuDR   COG3328: Transposase and inactivated derivatives [Magnetospirillum magnetotacticum MS-1]
UN-23577976_Cef	MULE	DNA/MULE-MuDR	418	UN-23577976_Cef#DNA/MULE-MuDR   putative transposase [Corynebacterium efficiens]
UN-23928448_Zma	MULE	DNA/MULE-MuDR	566	UN-23928448_Zma#DNA/MULE-MuDR   putative MURAZC [Zea mays]
UN-24210994_Asa	MULE	DNA/MULE-MuDR	404	UN-24210994_Asa#DNA/MULE-MuDR   putative transposase [Aeromonas salmonicida subsp. salmonicida]
UN-24372299_Son	MULE	DNA/MULE-MuDR	403	UN-24372299_Son#DNA/MULE-MuDR   transposase, mutator family [Shewanella oneidensis MR-1]
UN-25028021_Cef	MULE	DNA/MULE-MuDR	447	UN-25028021_Cef#DNA/MULE-MuDR   putative transposase [Corynebacterium efficiens YS-314]
UN-26554410_Mpe	MULE	DNA/MULE-MuDR	402	UN-26554410_Mpe#DNA/MULE-MuDR   transposase [Mycoplasma penetrans HF-2]
UN-27228664_Pre	MULE	DNA/MULE-MuDR	416	UN-27228664_Pre#DNA/MULE-MuDR   transposase [Pseudomonas resinovorans]
UN-27353421_Mim	MULE	DNA/MULE-MuDR	419	UN-27353421_Mim#DNA/MULE-MuDR   putative transposase [Mycoplasma imitans]
UN-27376890_Bja	MULE	DNA/MULE-MuDR	435	UN-27376890_Bja#DNA/MULE-MuDR   bll1779 [Bradyrhizobium japonicum USDA 110]
UN-27377274_Bja	MULE	DNA/MULE-MuDR	401	UN-27377274_Bja#DNA/MULE-MuDR   bll2163 [Bradyrhizobium japonicum USDA 110]
UN-27802457_Ppa	MULE	DNA/MULE-MuDR	416	UN-27802457_Ppa#DNA/MULE-MuDR   putative transposase [Paracoccus pantotrophus]
UN-27807845_Taq	MULE	DNA/MULE-MuDR	406	UN-27807845_Taq#DNA/MULE-MuDR   transposase [Thermus aquaticus]
UN-27817685_Rox	MULE	DNA/MULE-MuDR	381	UN-27817685_Rox#DNA/MULE-MuDR   putative transposase [Ralstonia oxalatica]
UN-27881402_Cce	MULE	DNA/MULE-MuDR	398	UN-27881402_Cce#DNA/MULE-MuDR   transposase TpnA2 [Clostridium cellulolyticum]
UN-28373056_Yen	MULE	DNA/MULE-MuDR	400	UN-28373056_Yen#DNA/MULE-MuDR   transposase [Yersinia enterocolitica]
UN-28848570_Bme	MULE	DNA/MULE-MuDR	393	UN-28848570_Bme#DNA/MULE-MuDR   putative transposase [Bacillus megaterium]
UN-29349845_Bth	MULE	DNA/MULE-MuDR	404	UN-29349845_Bth#DNA/MULE-MuDR   transposase [Bacteroides thetaiotaomicron VPI-5482]
UN-29376391_Efa	MULE	DNA/MULE-MuDR	430	UN-29376391_Efa#DNA/MULE-MuDR   transposase, IS256 family [Enterococcus faecalis V583]
UN-29569842_Pso	MULE	DNA/MULE-MuDR	398	UN-29569842_Pso#DNA/MULE-MuDR   putative transposase [Paracoccus solventivorans]
UN-29826765_Sav	MULE	DNA/MULE-MuDR	425	UN-29826765_Sav#DNA/MULE-MuDR   putative IS6120 family transposase [Streptomyces avermitilis MA-4680]
UN-29826887_Sav	MULE	DNA/MULE-MuDR	412	UN-29826887_Sav#DNA/MULE-MuDR   putative IS256 family transposase [Streptomyces avermitilis MA-4680]
UN-30349493_Cje	MULE	DNA/MULE-MuDR	412	UN-30349493_Cje#DNA/MULE-MuDR   transposase [Corynebacterium jeikeium]
UN-32455929_Msp	MULE	DNA/MULE-MuDR	415	UN-32455929_Msp#DNA/MULE-MuDR   putative transposase [Micrococcus sp. 28]
UN-32473311_Rba	MULE	DNA/MULE-MuDR	433	UN-32473311_Rba#DNA/MULE-MuDR   hypothetical 48K protein-putative transposase [Rhodopirellula baltica SH 1]
UN-33334431_Sen	MULE	DNA/MULE-MuDR	397	UN-33334431_Sen#DNA/MULE-MuDR   transposase; TnpA; (97% similar to one in Salmonella enterica) [Sitophilus zeamais endosymbiont]
UN-34497771_Cvi	MULE	DNA/MULE-MuDR	263	UN-34497771_Cvi#DNA/MULE-MuDR   probable transposase protein [Chromobacterium violaceum ATCC 12472]
UN-34908366_Osa_tp	MULE	DNA/MULE-MuDR	773	UN-34908366_Osa_tp#DNA/MULE-MuDR   P0529E05.9 [Oryza sativa]
UN-37519902_Gvi	MULE	DNA/MULE-MuDR	405	UN-37519902_Gvi#DNA/MULE-MuDR   putative transposase [Gloeobacter violaceus PCC 7421]
UN-37537156_Osa_tp	MULE	DNA/MULE-MuDR	721	UN-37537156_Osa_tp#DNA/MULE-MuDR   putative far-red impaired response protein exapted gene? [Oryza sativa]
UN-39594847_Cbr	MULE	DNA/MULE-MuDR	483	UN-39594847_Cbr#DNA/MULE-MuDR   Hypothetical protein CBG17457 [Caenorhabditis briggsae]
UN-40063663_uba	MULE	DNA/MULE-MuDR	415	UN-40063663_uba#DNA/MULE-MuDR   transposase, IS256 family [Uncultured bacterium 582]
UN-42520146_Wen	MULE	DNA/MULE-MuDR	410	UN-42520146_Wen#DNA/MULE-MuDR   transposase, IS256 family [Wolbachia endosymbiont of Drosophila melanogaster]
UN-45360229_Pae	MULE	DNA/MULE-MuDR	408	UN-45360229_Pae#DNA/MULE-MuDR   putative transposase [Pseudomonas aeruginosa]
UN-46132715_Reu	MULE	DNA/MULE-MuDR	419	UN-46132715_Reu#DNA/MULE-MuDR   COG3328: Transposase and inactivated derivatives [Ralstonia eutropha JMP134]
UN-46141805_Psp	MULE	DNA/MULE-MuDR	402	UN-46141805_Psp#DNA/MULE-MuDR   COG3328: Transposase and inactivated derivatives [Psychrobacter sp. ]
UN-46190959_Blo	MULE	DNA/MULE-MuDR	394	UN-46190959_Blo#DNA/MULE-MuDR   COG3328: Transposase and inactivated derivatives [Bifidobacterium longum DJO10A]
UN-46199734_Tth	MULE	DNA/MULE-MuDR	385	UN-46199734_Tth#DNA/MULE-MuDR   transposase [Thermus thermophilus HB27]
UN-46320998_Bce	MULE	DNA/MULE-MuDR	419	UN-46320998_Bce#DNA/MULE-MuDR   COG3328: Transposase and inactivated derivatives [Burkholderia cepacia R1808]
UN-46321330_Bce	MULE	DNA/MULE-MuDR	389	UN-46321330_Bce#DNA/MULE-MuDR   COG3328: Transposase and inactivated derivatives [Burkholderia cepacia R1808]
UN-47572415_Rge	MULE	DNA/MULE-MuDR	407	UN-47572415_Rge#DNA/MULE-MuDR   COG3328: Transposase and inactivated derivatives [Rubrivivax gelatinosus PM1]
UN-48675369_Bsp	MULE	DNA/MULE-MuDR	420	UN-48675369_Bsp#DNA/MULE-MuDR   hypothetical protein [Bacillus sp. JF8]
UN-48762981_Rru	MULE	DNA/MULE-MuDR	308	UN-48762981_Rru#DNA/MULE-MuDR   COG3328: Transposase and inactivated derivatives [Rhodospirillum rubrum]
UN-48785218_Bfu	MULE	DNA/MULE-MuDR	418	UN-48785218_Bfu#DNA/MULE-MuDR   COG3328: Transposase and inactivated derivatives [Burkholderia fungorum LB400]
UN-48788992_Bfu	MULE	DNA/MULE-MuDR	421	UN-48788992_Bfu#DNA/MULE-MuDR   COG3328: Transposase and inactivated derivatives (96% similar to one in Burkholderia cepacia R1808) [Burkholderia fungorum LB400]
UN-48824616_Efa	MULE	DNA/MULE-MuDR	396	UN-48824616_Efa#DNA/MULE-MuDR   COG3328: Transposase and inactivated derivatives [Enterococcus faecium]
UN-48825267_Efa	MULE	DNA/MULE-MuDR	389	UN-48825267_Efa#DNA/MULE-MuDR   COG3328: Transposase and inactivated derivatives [Enterococcus faecium]
UN-48831894_Msp	MULE	DNA/MULE-MuDR	424	UN-48831894_Msp#DNA/MULE-MuDR   COG3328: Transposase and inactivated derivatives [Magnetococcus sp. MC-1]
UN-48851728_Fac	MULE	DNA/MULE-MuDR	386	UN-48851728_Fac#DNA/MULE-MuDR   COG3328: Transposase and inactivated derivatives [Ferroplasma acidarmanus]
UN-48852982_Fac	MULE	DNA/MULE-MuDR	263	UN-48852982_Fac#DNA/MULE-MuDR   COG3328: Transposase and inactivated derivatives [Ferroplasma acidarmanus]
UN-48859304_Cth	MULE	DNA/MULE-MuDR	400	UN-48859304_Cth#DNA/MULE-MuDR   COG3328: Transposase and inactivated derivatives [Clostridium thermocellum ATCC 27405]
UN-48859976_Cth	MULE	DNA/MULE-MuDR	407	UN-48859976_Cth#DNA/MULE-MuDR   COG3328: Transposase and inactivated derivatives [Clostridium thermocellum ATCC 27405]
UN-49146406_Cta	MULE	DNA/MULE-MuDR	424	UN-49146406_Cta#DNA/MULE-MuDR   transposase [Caedibacter taeniospiralis]
UN-49613995_Dha	MULE	DNA/MULE-MuDR	397	UN-49613995_Dha#DNA/MULE-MuDR   putative transposase [Desulfitobacterium hafniense]
UN-50260537_Cne_tp	MULE	DNA/MULE-MuDR	932	UN-50260537_Cne_tp#DNA/MULE-MuDR   hypothetical protein CNBA5360 [Cryptococcus neoformans var. neoformans B-3501A]
UN-50543034_Yli_tp	MULE	DNA/MULE-MuDR	875	UN-50543034_Yli_tp#DNA/MULE-MuDR   hypothetical protein ? [Yarrowia lipolytica]
UN-50543232_Yli	MULE	DNA/MULE-MuDR	448	UN-50543232_Yli#DNA/MULE-MuDR   hypothetical protein [Yarrowia lipolytica]
UN-50545171_Yli	MULE	DNA/MULE-MuDR	467	UN-50545171_Yli#DNA/MULE-MuDR   hypothetical protein [Yarrowia lipolytica]
UN-50553866_Yli	MULE	DNA/MULE-MuDR	1178	UN-50553866_Yli#DNA/MULE-MuDR   Mutyl [Yarrowia lipolytica]
UN-50878058_Dps	MULE	DNA/MULE-MuDR	285	UN-50878058_Dps#DNA/MULE-MuDR   probable transposase (partial length) [Desulfotalea psychrophila LSv54]
UN-50926620_Osa_tp	MULE	DNA/MULE-MuDR	1061	UN-50926620_Osa_tp#DNA/MULE-MuDR   OSJNBa0074L08.5 [Oryza sativa]
UN-51854381_Osa_tp	MULE	DNA/MULE-MuDR	822	UN-51854381_Osa_tp#DNA/MULE-MuDR   unknown protein [Oryza sativa]
UN-51892267_Sth	MULE	DNA/MULE-MuDR	407	UN-51892267_Sth#DNA/MULE-MuDR   transposase [Symbiobacterium thermophilum IAM 14863]
UN-53731543_Mbu	MULE	DNA/MULE-MuDR	345	UN-53731543_Mbu#DNA/MULE-MuDR   COG3328: Transposase and inactivated derivatives [Methanococcoides burtonii DSM 6242]
UN-54261828_Stu	MULE	DNA/MULE-MuDR	587	UN-54261828_Stu#DNA/MULE-MuDR   putative transposase [Solanum tuberosum]
UN-115764896_Spu	MULE	DNA/MULE-MuDR	754	UN-115764896_Spu#DNA/MULE-MuDR   PREDICTED: hypothetical protein, partial [Strongylocentrotus purpuratus]
UN-Cmut1	MULE	DNA/MULE-MuDR	863	UN-Cmut1#DNA/MULE-MuDR   Candida from_retrobase  [Candida albicans SC5314]
UN-Cmut2	MULE	DNA/MULE-MuDR	832	UN-Cmut2#DNA/MULE-MuDR   Candida  hypothetical protein CaO19.12172 [Candida albicans SC5314]
UN-Cmut3	MULE	DNA/MULE-MuDR	996	UN-Cmut3#DNA/MULE-MuDR   Candida  hypothetical protein CaO19.3726 [Candida albicans SC5314]
UN-Hop_tp	MULE	DNA/MULE-MuDR	836	UN-Hop_tp#DNA/MULE-MuDR   RepBase name was MUDR1_FO.  transposase [Fusarium oxysporum]
UN-IS256_Sau	MULE	DNA/MULE-MuDR	390	UN-IS256_Sau#DNA/MULE-MuDR   IS256  transposase - [Staphylococcus aureus]
UN-IS285_Ype	MULE	DNA/MULE-MuDR	402	UN-IS285_Ype#DNA/MULE-MuDR   IS285 Over 160 protein entries in Genbank! First one:  transposase. Very similar transposases in Erwinia pyrifoliae and E coli phage. [Yersinia pestis KIM]
UN-IS654_Bha	MULE	DNA/MULE-MuDR	390	UN-IS654_Bha#DNA/MULE-MuDR   IS654  transposase of IS654 [Bacillus halodurans]
UN-IS905	MULE	DNA/MULE-MuDR	391	UN-IS905#DNA/MULE-MuDR   transposase of IS905 Almost identical to IS1191 transposase in Streptococcus thermophilus. [Lactococcus lactis]
UN-IS1081_Mtu	MULE	DNA/MULE-MuDR	436	UN-IS1081_Mtu#DNA/MULE-MuDR   IS1081  IS1081, transposase [Mycobacterium tuberculosis CDC1551]
UN-IS1113_Xor	MULE	DNA/MULE-MuDR	394	UN-IS1113_Xor#DNA/MULE-MuDR   IS1113  putative IS1113 transposase [Xanthomonas oryzae pv. oryzae]
UN-IS1164_Rrh	MULE	DNA/MULE-MuDR	414	UN-IS1164_Rrh#DNA/MULE-MuDR   IS1164  transposase of IS1164 [Rhodococcus rhodochrous]
UN-IS1201_Lcr	MULE	DNA/MULE-MuDR	408	UN-IS1201_Lcr#DNA/MULE-MuDR   IS1201 (IS1201 really is almost identical IS in Lactobacillus ch., )  transposase [Lactobacillus crispatus]
UN-IS1245_Lxy	MULE	DNA/MULE-MuDR	271	UN-IS1245_Lxy#DNA/MULE-MuDR   IS1245  transposase, IS1245 [Leifsonia xyli subsp. xyli str. CTCB07]
UN-IS1354_Mdi	MULE	DNA/MULE-MuDR	421	UN-IS1354_Mdi#DNA/MULE-MuDR   IS1354  transposase IS1354 (93% similar one in Gordonia westfalica) [Methylobacterium dichloromethanicum]
UN-IS1512_Mgo	MULE	DNA/MULE-MuDR	411	UN-IS1512_Mgo#DNA/MULE-MuDR   IS1512  IS1512 transposase [Mycobacterium gordonae]
UN-IS1535_Mtu	MULE	DNA/MULE-MuDR	281	UN-IS1535_Mtu#DNA/MULE-MuDR   IS1535  IS1535, transposase [Mycobacterium tuberculosis CDC1551]
UN-IS1553_Mtu	MULE	DNA/MULE-MuDR	409	UN-IS1553_Mtu#DNA/MULE-MuDR   IS1553  IS1553, transposase [Mycobacterium tuberculosis CDC1551]
UN-IS1554_Mtu	MULE	DNA/MULE-MuDR	439	UN-IS1554_Mtu#DNA/MULE-MuDR   IS1554  IS1554, transposase [Mycobacterium tuberculosis CDC1551]
UN-IS1601_Mav	MULE	DNA/MULE-MuDR	415	UN-IS1601_Mav#DNA/MULE-MuDR   IS1601  IS1601-A [Mycobacterium avium]
UN-IS2606_Mul	MULE	DNA/MULE-MuDR	444	UN-IS2606_Mul#DNA/MULE-MuDR   IS2606  probable transposase for the insertion element IS2606 [Mycobacterium ulcerans]
UN-ISC1332_Sso	MULE	DNA/MULE-MuDR	414	UN-ISC1332_Sso#DNA/MULE-MuDR   ISC1332  Transposase ISC1332 [Sulfolobus solfataricus P2]
UN-ISEf1_Efa	MULE	DNA/MULE-MuDR	392	UN-ISEf1_Efa#DNA/MULE-MuDR   ISEf1  ISEf1, transposase [Enterococcus faecalis V583]
UN-ISMca5_Mca	MULE	DNA/MULE-MuDR	411	UN-ISMca5_Mca#DNA/MULE-MuDR   ISMca5  ISMca5, transposase. Almost identical one in Plasmodium yoelii. [Methylococcus capsulatus str. Bath]
UN-ISRM3_Bth	MULE	DNA/MULE-MuDR	405	UN-ISRM3_Bth#DNA/MULE-MuDR   ISRM3  transposase for insertion sequence element ISRM3 [Bacteroides thetaiotaomicron VPI-5482]
UN-ISRm3_Sme	MULE	DNA/MULE-MuDR	397	UN-ISRm3_Sme#DNA/MULE-MuDR   ISRm3  TRANSPOSASE FOR INSERTION SEQUENCE ELEMENT ISRM3 [Sinorhizobium meliloti 1021]
UN-ISRm5_Sme	MULE	DNA/MULE-MuDR	398	UN-ISRm5_Sme#DNA/MULE-MuDR   ISRm5  TRANSPOSASE FOR INSERTION SEQUENCE ELEMENT ISRM5 [Sinorhizobium meliloti 1021]
UN-ISRso7_Rso	MULE	DNA/MULE-MuDR	416	UN-ISRso7_Rso#DNA/MULE-MuDR   ISRso7  ISRSO7-TRANSPOSASE PROTEIN [Ralstonia solanacearum GMI1000]
UN-ISsod4_Son	MULE	DNA/MULE-MuDR	400	UN-ISsod4_Son#DNA/MULE-MuDR   ISsod4  ISSod4, transposase [Shewanella oneidensis MR-1]
UN-ISSod5_Son	MULE	DNA/MULE-MuDR	401	UN-ISSod5_Son#DNA/MULE-MuDR   ISSod5  ISSod5, transposase [Shewanella oneidensis MR-1]
UN-MS103_Msp	MULE	DNA/MULE-MuDR	413	UN-MS103_Msp#DNA/MULE-MuDR   MS103  MS103, putative transposase [Microscilla sp. PRE1]
UN-MUTRIM1	MULE	DNA/MULE-MuDR	751	UN-MUTRIM1#DNA/MULE-MuDR   putative transposase [Triticum monococcum]
UN-Vandal3_tp	MULE	DNA/MULE-MuDR	819	UN-Vandal3_tp#DNA/MULE-MuDR   3 exons  Mutator-like transposase [Arabidopsis]
UN-Vandal17_tp	MULE	DNA/MULE-MuDR	815	UN-Vandal17_tp#DNA/MULE-MuDR   (one frameshift; ~  Mutator-like transposase [Arabidopsis]
MuDR-1_HM	MULE	DNA/MULE	817	MuDR-1_HM#DNA/MULE RBRM:MuDr-1_HM cds_range:1665-4116 [Hydra vulgaris]
MuDRF-1_DPu	MULE	DNA/MULE-F	516	MuDRF-1_DPu#DNA/MULE-F RBRM:MuDRF-1_DPu frameshifts:1 stops:1 cds_range:247-1860 exons:247-1181;1247-1860 fragment via genewise with MuDRF-1_NVe [Daphnia pulex]
MuDRF-1_MLP	MULE	DNA/MULE-F	1309	MuDRF-1_MLP#DNA/MULE-F RBRM:MuDRF-1_MLP cds_range:485-5495 exons:485-525;641-1445;1524-1753;1822-2007;2085-2593;2688-2942;3022-4467;4541-4628;4691-4945;5374-5495 via genscan. [Melampsora larici-populina]
