tip_label	sequence_id	group	repeat_class	source	length	original_header
RP__EnSpm__ATEnSpm11	ATEnSpm11	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1499	ATEnSpm11#DNA/CMC-EnSpm RBRM:ATENSPM11 frameshifts:2 stops:2 cds_range:1283-7664 exons:1283-2163;2253-2913;2997-3642;3803-4002;4062-4183;4347-4886;5159-5505;5579-5818;6055-6152;6225-6484;6985-7236;7402-7664 Genewise with atenspm7 protein [Arabidopsis]
RP__EnSpm__ATEnSpm12	ATEnSpm12	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1718	ATEnSpm12#DNA/CMC-EnSpm RBRM:ATENSPM12 cds_range:1574-8506 exons:1574-3233;3331-4232;4334-4444;4622-5125;5527-5576;5609-5905;5991-6195;6452-6560;6767-7019;7098-7137;7214-7511;7587-8092;8275-8506 genewise with ATEnSpm7 protein [Arabidopsis thaliana]
RP__EnSpm__BREnSpm1	BREnSpm1	EnSpm	DNA/CMC-EnSpm	RepeatPeps	703	BREnSpm1#DNA/CMC-EnSpm RBRM:BRENSPM1 cds_range:435-2544 (fragment) [Brassica rapa]
RP__EnSpm__CACTA-1_Mlaricis	CACTA-1_Mlaricis	EnSpm	DNA/CMC-EnSpm	RepeatPeps	687	CACTA-1_Mlaricis#DNA/CMC-EnSpm RBRM:CACTA-1_Mlaricis cds_range:1523-3584 [Melampsora laricis]
RP__EnSpm__CACTA-1_Roryzae	CACTA-1_Roryzae	EnSpm	DNA/CMC-EnSpm	RepeatPeps	818	CACTA-1_Roryzae#DNA/CMC-EnSpm RBRM:CACTA-1_Roryzae cds_range:2583-5037 [Rhizopus oryzae]
RP__EnSpm__CACTA-2_Mlaricis	CACTA-2_Mlaricis	EnSpm	DNA/CMC-EnSpm	RepeatPeps	727	CACTA-2_Mlaricis#DNA/CMC-EnSpm RBRM:CACTA-2_Mlaricis cds_range:4852-7033 [Melampsora laricis]
RP__EnSpm__CACTA_LP_p1	CACTA_LP_p1	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1212	CACTA_LP_p1#DNA/CMC-EnSpm RBRM:CACTA_LP frameshifts:7 stops:3 cds_range:1088-4719 via tfasty with EnSpm2_OS_p1 [Lolium perenne]
RP__EnSpm__CACTA_LP_p2	CACTA_LP_p2	EnSpm	DNA/CMC-EnSpm	RepeatPeps	648	CACTA_LP_p2#DNA/CMC-EnSpm RBRM:CACTA_LP frameshifts:2 stops:4 cds_range:6882-8828 via tfasty with EnSpm2_OS_p2 [Lolium perenne]
RP__EnSpm__DOPPIA4_ZM	DOPPIA4_ZM	EnSpm	DNA/CMC-EnSpm	RepeatPeps	854	DOPPIA4_ZM#DNA/CMC-EnSpm RBRM:DOPPIA4_ZM cds_range:1514-4076 [Zea mays]
RP__EnSpm__EN1_ZM	EN1_ZM	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1025	EN1_ZM#DNA/CMC-EnSpm RBRM:EN1_ZM cds_range:1417-4611 exons:1417-4043;4162-4611 Via genewise with PSL,. [Zea mays]
RP__EnSpm__ENS1_Cis	ENS1_Cis	EnSpm	DNA/CMC-EnSpm	RepeatPeps	813	ENS1_Cis#DNA/CMC-EnSpm RBRM:ENS1_Cis cds_range:469-2908 [Ciona savignyi]
RP__EnSpm__EnSpm1_PT	EnSpm1_PT	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1158	EnSpm1_PT#DNA/CMC-EnSpm RBRM:ENSPM1_PT cds_range:1105-4877 exons:1105-3389;3477-3795;3898-3998;4105-4877 [Populus trichocarpa]
RP__EnSpm__EnSpm1_SB_p1	EnSpm1_SB_p1	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1208	EnSpm1_SB_p1#DNA/CMC-EnSpm RBRM:EnSpm1_SB cds_range:1155-4779 [Sorghum bicolor]
RP__EnSpm__EnSpm1_SB_p2	EnSpm1_SB_p2	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1177	EnSpm1_SB_p2#DNA/CMC-EnSpm RBRM:EnSpm1_SB cds_range:10094-14133 exons:10094-10414;10507-12927;13007-13271;13361-13472;13564-13649;13692-13827;13937-14133 via genewise with mRNA [Sorghum bicolor]
RP__EnSpm__EnSpm1_TD	EnSpm1_TD	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1060	EnSpm1_TD#DNA/CMC-EnSpm RBRM:EnSpm1_TD frameshifts:4 stops:1 cds_range:7116-10466 exons:7116-9701;9792-9957;10039-10466 via genewise with EnSpm-10_ZM_p1 and PRL [Triticum durum]
RP__EnSpm__EnSpm1B_PT	EnSpm1B_PT	EnSpm	DNA/CMC-EnSpm	RepeatPeps	299	EnSpm1B_PT#DNA/CMC-EnSpm RBRM:EnSpm1B_PT cds_range:1965-3106 exons:1965-2041;2131-2405;2484-2604;2679-3106 Fragment, via genewise with EnSpm2_PTr [Populus trichocarpa]
RP__EnSpm__EnSpm2_HV	EnSpm2_HV	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1123	EnSpm2_HV#DNA/CMC-EnSpm RBRM:EnSpm2_HV frameshifts:1 cds_range:557-3927 via tfasty with EnSpm-3_HV_p1 [Hordeum vulgare]
RP__EnSpm__EnSpm2_MT	EnSpm2_MT	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1064	EnSpm2_MT#DNA/CMC-EnSpm RBRM:ENSPM2_MT cds_range:2871-6063 [Medicago truncatula]
RP__EnSpm__EnSpm2_OS_p1	EnSpm2_OS_p1	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1081	EnSpm2_OS_p1#DNA/CMC-EnSpm RBRM:ENSPM2_OS cds_range:612-3855 [Oryza sativa]
RP__EnSpm__EnSpm2_OS_p2	EnSpm2_OS_p2	EnSpm	DNA/CMC-EnSpm	RepeatPeps	591	EnSpm2_OS_p2#DNA/CMC-EnSpm RBRM:ENSPM2_OS frameshifts:1 cds_range:7261-9433 exons:7261-7989;8065-8396;8535-8985;9168-9433 via genewise with EnSpm3_OS_p2 [Oryza sativa]
RP__EnSpm__EnSpm2_PTr	EnSpm2_PTr	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1589	EnSpm2_PTr#DNA/CMC-EnSpm RBRM:EnSpm2_PTr cds_range:4932-11866 exons:4932-7222;7296-7611;7683-7783;7892-8571;9950-10170;10217-10410;10725-11055;11136-11247;11337-11866 via genewise with ATEnSpm6, and based on mRNAs [Populus trichocarpa]
RP__EnSpm__EnSpm2_SB_p1	EnSpm2_SB_p1	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1136	EnSpm2_SB_p1#DNA/CMC-EnSpm RBRM:EnSpm2_SB cds_range:1332-4740 [Sorghum bicolor]
RP__EnSpm__EnSpm2_SB_p2	EnSpm2_SB_p2	EnSpm	DNA/CMC-EnSpm	RepeatPeps	822	EnSpm2_SB_p2#DNA/CMC-EnSpm RBRM:EnSpm2_SB cds_range:8025-10628 exons:8025-9451;9588-10628 via genewise with SPMLIKE [Sorghum bicolor]
RP__EnSpm__EnSpm2_TM_p2	EnSpm2_TM_p2	EnSpm	DNA/CMC-EnSpm	RepeatPeps	733	EnSpm2_TM_p2#DNA/CMC-EnSpm RBRM:EnSpm2_TM stops:8 cds_range:8777-10976 via tfasty with EnSpm-4_HV_p2 [Triticum monococcum]
RP__EnSpm__EnSpm2_ZM	EnSpm2_ZM	EnSpm	DNA/CMC-EnSpm	RepeatPeps	854	EnSpm2_ZM#DNA/CMC-EnSpm RBRM:ENSPM2_ZM cds_range:1316-3878 [Zea mays]
RP__EnSpm__EnSpm3_OS_p1	EnSpm3_OS_p1	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1073	EnSpm3_OS_p1#DNA/CMC-EnSpm RBRM:ENSPM3_OS cds_range:675-3894 (perhaps spliced to p2) EnSpom2_OS_p1 93% identical [Oryza sativa]
RP__EnSpm__EnSpm3_SB_p2	EnSpm3_SB_p2	EnSpm	DNA/CMC-EnSpm	RepeatPeps	791	EnSpm3_SB_p2#DNA/CMC-EnSpm RBRM:EnSpm3_SB frameshifts:2 cds_range:1578-4232 exons:1578-3062;3234-3629;3741-4232 via genewise with SPMLIKE_p2 [Sorghum bicolor]
RP__EnSpm__EnSpm3_ZM	EnSpm3_ZM	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1058	EnSpm3_ZM#DNA/CMC-EnSpm RBRM:ENSPM3_ZM frameshifts:3 cds_range:1162-4333 via tfasty with EnSpm3_OS_p1 [Zea mays]
RP__EnSpm__EnSpm4_OS_p1	EnSpm4_OS_p1	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1095	EnSpm4_OS_p1#DNA/CMC-EnSpm RBRM:ENSPM4_OS cds_range:594-3879 [Oryza sativa]
RP__EnSpm__EnSpm4_OS_p2	EnSpm4_OS_p2	EnSpm	DNA/CMC-EnSpm	RepeatPeps	721	EnSpm4_OS_p2#DNA/CMC-EnSpm RBRM:ENSPM4_OS stops:1 cds_range:7816-9979 [Oryza sativa]
RP__EnSpm__EnSpm4_SB_p1	EnSpm4_SB_p1	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1173	EnSpm4_SB_p1#DNA/CMC-EnSpm RBRM:EnSpm4_SB cds_range:1337-4856 [Sorghum bicolor]
RP__EnSpm__EnSpm4_SB_p2	EnSpm4_SB_p2	EnSpm	DNA/CMC-EnSpm	RepeatPeps	750	EnSpm4_SB_p2#DNA/CMC-EnSpm RBRM:EnSpm4_SB cds_range:7711-9961 [Sorghum bicolor]
RP__EnSpm__EnSpm4_ZM	EnSpm4_ZM	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1123	EnSpm4_ZM#DNA/CMC-EnSpm RBRM:ENSPM4_ZM stops:1 cds_range:7166-10535 via tfasty with EnSpm7_OS_p1 [Zea mays]
RP__EnSpm__EnSpm5_OS_p1	EnSpm5_OS_p1	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1139	EnSpm5_OS_p1#DNA/CMC-EnSpm RBRM:ENSPM5_OS cds_range:548-3965 EnSpm6_OS close. [Oryza sativa]
RP__EnSpm__EnSpm5_OS_p2	EnSpm5_OS_p2	EnSpm	DNA/CMC-EnSpm	RepeatPeps	758	EnSpm5_OS_p2#DNA/CMC-EnSpm RBRM:ENSPM5_OS cds_range:5606-7880 EnSpm6_OS close. [Oryza sativa]
RP__EnSpm__EnSpm5_SB_p1	EnSpm5_SB_p1	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1045	EnSpm5_SB_p1#DNA/CMC-EnSpm RBRM:EnSpm5_SB frameshifts:3 cds_range:2272-5526 exons:2272-4809;4867-5024;5086-5526 via genewise with EnSpm1_TD [Sorghum bicolor]
RP__EnSpm__EnSpm6_SB_p1	EnSpm6_SB_p1	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1160	EnSpm6_SB_p1#DNA/CMC-EnSpm RBRM:EnSpm6_SB cds_range:1101-4581 [Sorghum bicolor]
RP__EnSpm__EnSpm6_SB_p2	EnSpm6_SB_p2	EnSpm	DNA/CMC-EnSpm	RepeatPeps	783	EnSpm6_SB_p2#DNA/CMC-EnSpm RBRM:EnSpm6_SB cds_range:6739-9088 [Sorghum bicolor]
RP__EnSpm__EnSpm7_OS_p1	EnSpm7_OS_p1	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1150	EnSpm7_OS_p1#DNA/CMC-EnSpm RBRM:ENSPM7_OS cds_range:1015-4465 [Oryza sativa]
RP__EnSpm__EnSpm7_OS_p2	EnSpm7_OS_p2	EnSpm	DNA/CMC-EnSpm	RepeatPeps	711	EnSpm7_OS_p2#DNA/CMC-EnSpm RBRM:ENSPM7_OS frameshifts:1 cds_range:7525-9730 exons:7525-9104;9160-9730 via tfasty with EnSpm5_OS_p2 [Oryza sativa]
RP__EnSpm__EnSpm7_SB_p1	EnSpm7_SB_p1	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1121	EnSpm7_SB_p1#DNA/CMC-EnSpm RBRM:EnSpm7_SB cds_range:872-4235 [Sorghum bicolor]
RP__EnSpm__EnSpm7_SB_p2	EnSpm7_SB_p2	EnSpm	DNA/CMC-EnSpm	RepeatPeps	845	EnSpm7_SB_p2#DNA/CMC-EnSpm RBRM:EnSpm7_SB cds_range:7041-9729 exons:7041-8548;8701-9729 via genewise with EnSpm2_SB_p2 [Sorghum bicolor]
RP__EnSpm__EnSpm8_SB	EnSpm8_SB	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1102	EnSpm8_SB#DNA/CMC-EnSpm RBRM:EnSpm8_SB cds_range:2315-5869 exons:2315-4575;4663-4951;5030-5124;5202-5869 via genewise with EnSpm2_OS_p1, Maybe connected to p2-like exons around 6574-6816 and 8977-9213 [Sorghum bicolor]
RP__EnSpm__EnSpm11_SB_p2	EnSpm11_SB_p2	EnSpm	DNA/CMC-EnSpm	RepeatPeps	747	EnSpm11_SB_p2#DNA/CMC-EnSpm RBRM:EnSpm11_SB cds_range:7154-9395 [Sorghum bicolor]
RP__EnSpm__EnSpm12_SB_p1	EnSpm12_SB_p1	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1150	EnSpm12_SB_p1#DNA/CMC-EnSpm RBRM:EnSpm12_SB cds_range:3191-6720 exons:3191-5727;5806-6720 via genewise with EnSpm-10_ZM_p1 [Sorghum bicolor]
RP__EnSpm__EnSpm12_SB_p2	EnSpm12_SB_p2	EnSpm	DNA/CMC-EnSpm	RepeatPeps	478	EnSpm12_SB_p2#DNA/CMC-EnSpm RBRM:EnSpm12_SB cds_range:6795-8655 exons:6795-7345;7422-7583;7767-7928;8019-8193;8267-8655 via genewise with EnSpm5_SB_p2 [Sorghum bicolor]
RP__EnSpm__EnSpm-1_AA	EnSpm-1_AA	EnSpm	DNA/CMC-EnSpm	RepeatPeps	666	EnSpm-1_AA#DNA/CMC-EnSpm RBRM:EnSpm-1_AA cds_range:7951-9949 [Aedes aegypti]
RP__EnSpm__EnSpm-1_ADi	EnSpm-1_ADi	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1155	EnSpm-1_ADi#DNA/CMC-EnSpm RBRM:EnSpm-1_ADi cds_range:1155-5559 exons:1155-2042;2981-5559 via genewise with EnSpm-18_HMa [Acropora digitifera]
RP__EnSpm__EnSpm-1_AIp_tp	EnSpm-1_AIp_tp	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1145	EnSpm-1_AIp_tp#DNA/CMC-EnSpm RBRM:EnSpm-1_AIp frameshifts:1 cds_range:1455-4981 exons:1455-4059;4151-4981 via genewise with EnSpm_MT [Arachis ipaensis]
RP__EnSpm__EnSpm-1_AP	EnSpm-1_AP	EnSpm	DNA/CMC-EnSpm	RepeatPeps	661	EnSpm-1_AP#DNA/CMC-EnSpm RBRM:EnSpm-1_AP stops:1 cds_range:10-1993 via tfasty with EnSpm-6_DR [Acyrthosiphon pisum]
RP__EnSpm__EnSpm-1_BDi	EnSpm-1_BDi	EnSpm	DNA/CMC-EnSpm	RepeatPeps	880	EnSpm-1_BDi#DNA/CMC-EnSpm RBRM:EnSpm-1_BDi cds_range:33-2673 [Brachypodium distachyon]
RP__EnSpm__EnSpm-1_BF	EnSpm-1_BF	EnSpm	DNA/CMC-EnSpm	RepeatPeps	737	EnSpm-1_BF#DNA/CMC-EnSpm RBRM:EnSpm-1_BF cds_range:3166-5377 (may have more exons) [Branchiostoma floridae]
RP__EnSpm__EnSpm-1_CCri_3p	EnSpm-1_CCri_3p	EnSpm	DNA/CMC-EnSpm	RepeatPeps	473	EnSpm-1_CCri_3p#DNA/CMC-EnSpm RBRM:EnSpm-1_CCri rev:1 cds_range:11292-9873 [Chondrus crispus]
RP__EnSpm__EnSpm-1_CCri_tp	EnSpm-1_CCri_tp	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1310	EnSpm-1_CCri_tp#DNA/CMC-EnSpm RBRM:EnSpm-1_CCri cds_range:5830-9760 [Chondrus crispus]
RP__EnSpm__EnSpm-1_CGi	EnSpm-1_CGi	EnSpm	DNA/CMC-EnSpm	RepeatPeps	824	EnSpm-1_CGi#DNA/CMC-EnSpm RBRM:EnSpm-1_CGi cds_range:12-2484 [Crassostrea gigas]
RP__EnSpm__EnSpm-1_Cia_tp	EnSpm-1_Cia_tp	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1452	EnSpm-1_Cia_tp#DNA/CMC-EnSpm RBRM:EnSpm-1_Cia cds_range:2123-8093 exons:2123-4356;4452-4761;4843-4949;5031-5575;5968-6190;6290-6529;6799-7018;7261-7366;7623-7923;8014-8093 Genscan prediction, probably merger of transposase and p2 (partly confirmed with genewise) [Cicer arietinum]
RP__EnSpm__EnSpm-1_DDi	EnSpm-1_DDi	EnSpm	DNA/CMC-EnSpm	RepeatPeps	839	EnSpm-1_DDi#DNA/CMC-EnSpm RBRM:EnSpm-1_DDi cds_range:998-3515 [Dictyostelium discoideum]
RP__EnSpm__EnSpm-1_FV_tp	EnSpm-1_FV_tp	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1125	EnSpm-1_FV_tp#DNA/CMC-EnSpm RBRM:EnSpm-1_FV cds_range:924-4454 exons:924-3190;3266-3639;3718-4454 via genewise with EnSpm-1_Mad [Fragaria vesca]
RP__EnSpm__EnSpm-1_GM	EnSpm-1_GM	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1065	EnSpm-1_GM#DNA/CMC-EnSpm RBRM:EnSpm-1_GM cds_range:700-3895 [Glycine max]
RP__EnSpm__EnSpm-1_GR	EnSpm-1_GR	EnSpm	DNA/CMC-EnSpm	RepeatPeps	794	EnSpm-1_GR#DNA/CMC-EnSpm RBRM:EnSpm-1_GR cds_range:2938-5320 [Gossypium raimondii]
RP__EnSpm__EnSpm-1_HM	EnSpm-1_HM	EnSpm	DNA/CMC-EnSpm	RepeatPeps	347	EnSpm-1_HM#DNA/CMC-EnSpm RBRM:EnSpm-1_HM stops:1 cds_range:1634-2675 via tfasty with EnSpm-2_HM_p1 (fragment) [Hydra vulgaris]
RP__EnSpm__EnSpm-1_HV_p1	EnSpm-1_HV_p1	EnSpm	DNA/CMC-EnSpm	RepeatPeps	794	EnSpm-1_HV_p1#DNA/CMC-EnSpm RBRM:EnSpm-1_HV cds_range:3034-5416 (may have more exons) [Hordeum vulgare]
RP__EnSpm__EnSpm-1_LU	EnSpm-1_LU	EnSpm	DNA/CMC-EnSpm	RepeatPeps	858	EnSpm-1_LU#DNA/CMC-EnSpm RBRM:EnSpm-1_LU cds_range:1356-3930 [Linum usitatissimum]
RP__EnSpm__EnSpm-1_Mad	EnSpm-1_Mad	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1121	EnSpm-1_Mad#DNA/CMC-EnSpm RBRM:EnSpm-1_Mad cds_range:568-4151 exons:568-2795;2896-3293;3412-4151 via genewise with EnSpm2_PTr [Malus domestica]
RP__EnSpm__EnSpm-1_MN	EnSpm-1_MN	EnSpm	DNA/CMC-EnSpm	RepeatPeps	843	EnSpm-1_MN#DNA/CMC-EnSpm RBRM:EnSpm-1_MN cds_range:1702-4231 [Morus notabilis]
RP__EnSpm__EnSpm-1_NGr	EnSpm-1_NGr	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1158	EnSpm-1_NGr#DNA/CMC-EnSpm RBRM:EnSpm-1_NGr cds_range:249-3723 [Naegleria gruberi]
RP__EnSpm__EnSpm-1_NV	EnSpm-1_NV	EnSpm	DNA/CMC-EnSpm	RepeatPeps	794	EnSpm-1_NV#DNA/CMC-EnSpm RBRM:EnSpm-1_NV cds_range:4406-6788 [Nematostella vectensis]
RP__EnSpm__EnSpm-1_NVi	EnSpm-1_NVi	EnSpm	DNA/CMC-EnSpm	RepeatPeps	618	EnSpm-1_NVi#DNA/CMC-EnSpm RBRM:EnSpm-1_NVi frameshifts:2 cds_range:1706-3558 via tfasty with EnSpm-1_AA [Nasonia vitripennis]
RP__EnSpm__EnSpm-1_PGr	EnSpm-1_PGr	EnSpm	DNA/CMC-EnSpm	RepeatPeps	801	EnSpm-1_PGr#DNA/CMC-EnSpm RBRM:EnSpm-1_PGr cds_range:256-2659 [Puccinia graminis f. sp. tritici crl 75-36-700-3]
RP__EnSpm__EnSpm-1_PSt_tp	EnSpm-1_PSt_tp	EnSpm	DNA/CMC-EnSpm	RepeatPeps	623	EnSpm-1_PSt_tp#DNA/CMC-EnSpm RBRM:EnSpm-1_PSt cds_range:106-1975 [Puccinia striiformis]
RP__EnSpm__EnSpm-1_TA	EnSpm-1_TA	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1189	EnSpm-1_TA#DNA/CMC-EnSpm RBRM:EnSpm-1_TA frameshifts:2 stops:4 cds_range:1032-4597 via tfasty with CACTA_LP_p1 [Triticum aestivum]
RP__EnSpm__EnSpm-1_TM_p1	EnSpm-1_TM_p1	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1139	EnSpm-1_TM_p1#DNA/CMC-EnSpm RBRM:EnSpm-1_TM frameshifts:1 stops:1 cds_range:2990-6406 via tfasty with EnSpm2_OS_p1 [Triticum monococcum]
RP__EnSpm__EnSpm-1_TM_p2	EnSpm-1_TM_p2	EnSpm	DNA/CMC-EnSpm	RepeatPeps	577	EnSpm-1_TM_p2#DNA/CMC-EnSpm RBRM:EnSpm-1_TM frameshifts:2 stops:2 cds_range:9306-10992 via tfasty with CACTA_LP_p2 [Triticum monococcum]
RP__EnSpm__EnSpm-2_BDi	EnSpm-2_BDi	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1141	EnSpm-2_BDi#DNA/CMC-EnSpm RBRM:EnSpm-2_BDi cds_range:837-4260 [Brachypodium distachyon]
RP__EnSpm__EnSpm-2_BF	EnSpm-2_BF	EnSpm	DNA/CMC-EnSpm	RepeatPeps	767	EnSpm-2_BF#DNA/CMC-EnSpm RBRM:EnSpm-2_BF cds_range:5809-8110 (may have more exons) [Branchiostoma floridae]
RP__EnSpm__EnSpm-2_CGi	EnSpm-2_CGi	EnSpm	DNA/CMC-EnSpm	RepeatPeps	645	EnSpm-2_CGi#DNA/CMC-EnSpm RBRM:EnSpm-2_CGi cds_range:1515-3450 [Crassostrea gigas]
RP__EnSpm__EnSpm-2_Cia_p2	EnSpm-2_Cia_p2	EnSpm	DNA/CMC-EnSpm	RepeatPeps	669	EnSpm-2_Cia_p2#DNA/CMC-EnSpm RBRM:EnSpm-2_Cia cds_range:6941-11643 exons:6941-7222;7317-7527;7606-7855;8864-9431;9508-9732;9821-9986;11182-11249;11352-11470;11517-11643 via genscan and genewise with EnSpm7_OS_p2 [Cicer arietinum]
RP__EnSpm__EnSpm-2_Cia_tp	EnSpm-2_Cia_tp	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1058	EnSpm-2_Cia_tp#DNA/CMC-EnSpm RBRM:EnSpm-2_Cia cds_range:3584-6758 [Cicer arietinum]
RP__EnSpm__EnSpm-2_GM_tp	EnSpm-2_GM_tp	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1064	EnSpm-2_GM_tp#DNA/CMC-EnSpm RBRM:EnSpm-2_GM cds_range:3601-6793 [Glycine max]
RP__EnSpm__EnSpm-2_HM_p1	EnSpm-2_HM_p1	EnSpm	DNA/CMC-EnSpm	RepeatPeps	608	EnSpm-2_HM_p1#DNA/CMC-EnSpm RBRM:EnSpm-2_HM cds_range:1064-2888 (may have more exons) [Hydra vulgaris]
RP__EnSpm__EnSpm-2_Mad	EnSpm-2_Mad	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1124	EnSpm-2_Mad#DNA/CMC-EnSpm RBRM:EnSpm-2_Mad cds_range:1463-5115 exons:1463-3729;3819-4128;4217-4323;4424-5115 via genewise with EnSpm2_MT [Malus domestica]
RP__EnSpm__EnSpm-2_NV	EnSpm-2_NV	EnSpm	DNA/CMC-EnSpm	RepeatPeps	790	EnSpm-2_NV#DNA/CMC-EnSpm RBRM:EnSpm-2_NV cds_range:4136-6506 [Nematostella vectensis]
RP__EnSpm__EnSpm-2_NVi	EnSpm-2_NVi	EnSpm	DNA/CMC-EnSpm	RepeatPeps	710	EnSpm-2_NVi#DNA/CMC-EnSpm RBRM:EnSpm-2_NVi cds_range:136-2266 Probably a fragment. [Nasonia vitripennis]
RP__EnSpm__EnSpm-2_PGr	EnSpm-2_PGr	EnSpm	DNA/CMC-EnSpm	RepeatPeps	735	EnSpm-2_PGr#DNA/CMC-EnSpm RBRM:EnSpm-2_PGr frameshifts:1 cds_range:6758-9409 exons:6758-7208;7653-9409 Fragment via genewise with EnSpm-4_PGr [Puccinia graminis f. sp. tritici crl 75-36-700-3]
RP__EnSpm__EnSpm-2_SIn	EnSpm-2_SIn	EnSpm	DNA/CMC-EnSpm	RepeatPeps	825	EnSpm-2_SIn#DNA/CMC-EnSpm RBRM:EnSpm-2_SIn cds_range:3619-6094 [Solenopsis invicta]
RP__EnSpm__EnSpm-3_ADi	EnSpm-3_ADi	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1284	EnSpm-3_ADi#DNA/CMC-EnSpm RBRM:EnSpm-3_ADi frameshifts:2 stops:1 cds_range:1177-6452 exons:1177-2067;2403-2628;3073-4085;4383-4586;4932-6452 via genewise with EnSpm-1_ADi [Acropora digitifera]
RP__EnSpm__EnSpm-3_BF	EnSpm-3_BF	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1078	EnSpm-3_BF#DNA/CMC-EnSpm RBRM:EnSpm-3_BF cds_range:5707-8941 [Branchiostoma floridae]
RP__EnSpm__EnSpm-3_Cia_p2	EnSpm-3_Cia_p2	EnSpm	DNA/CMC-EnSpm	RepeatPeps	681	EnSpm-3_Cia_p2#DNA/CMC-EnSpm RBRM:EnSpm-3_Cia cds_range:5438-8938 exons:5438-5572;5726-5804;5890-6100;6191-6284;6373-6490;6577-6904;7030-7237;7366-7435;7515-7940;8300-8411;8499-8581;8659-8755;8844-8938 genscan prediction [] [Cicer arietinum]
RP__EnSpm__EnSpm-3_Cia_tp	EnSpm-3_Cia_tp	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1075	EnSpm-3_Cia_tp#DNA/CMC-EnSpm RBRM:EnSpm-3_Cia frameshifts:1 cds_range:794-4020 via tfasty with EnSpm-13_VV_tp [Cicer arietinum]
RP__EnSpm__EnSpm-3_GM_tp	EnSpm-3_GM_tp	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1082	EnSpm-3_GM_tp#DNA/CMC-EnSpm RBRM:EnSpm-3_GM cds_range:5586-9054 exons:5586-7873;7919-8258;8356-8456;8534-9054 via genewise with EnSpm-2_Mad [Glycine max]
RP__EnSpm__EnSpm-3_HM_p1	EnSpm-3_HM_p1	EnSpm	DNA/CMC-EnSpm	RepeatPeps	858	EnSpm-3_HM_p1#DNA/CMC-EnSpm RBRM:EnSpm-3_HM frameshifts:1 cds_range:252-2827 via tfasty with EnSpm-2_DR_p1 [Hydra vulgaris]
RP__EnSpm__EnSpm-3_HV_p1	EnSpm-3_HV_p1	EnSpm	DNA/CMC-EnSpm	RepeatPeps	1105	EnSpm-3_HV_p1#DNA/CMC-EnSpm RBRM:EnSpm-3_HV cds_range:553-3868 [Triticeae]
RP__EnSpm__EnSpm-3_HV_p2	EnSpm-3_HV_p2	EnSpm	DNA/CMC-EnSpm	RepeatPeps	796	EnSpm-3_HV_p2#DNA/CMC-EnSpm RBRM:EnSpm-3_HV cds_range:7673-10061 (may have more exons) [Triticeae]
RP__EnSpm__EnSpm-3_Mad	EnSpm-3_Mad	EnSpm	DNA/CMC-EnSpm	RepeatPeps	767	EnSpm-3_Mad#DNA/CMC-EnSpm RBRM:EnSpm-3_Mad Probably a fragment. [Malus domestica]
